Bairros,n,obito,mortalidade,mean_idade,Renda_Bairro
SAUDE,184,6,3.260869565,45.48913043,505.5
ZUMBI,198,14,7.070707071,44.34343434,1232.26
CAMPO DOS AFONSOS,232,18,7.75862069,43.8362069,1279.35
ENGENHEIRO LEAL,313,29,9.265175719,43.40255591,770.74
RIBEIRA,335,27,8.059701493,48.76119403,1232.26
CAMORIM,340,27,7.941176471,43.35294118,943.58
PARQUE COLUMBIA,379,38,10.02638522,45.47493404,560.38
PRAIA DA BANDEIRA,444,26,5.855855856,45.76576577,1232.26
PAQUETA,474,18,3.797468354,45.56962025,1011.52
MONERO,477,42,8.805031447,49.75890985,1517.13
COCOTA,507,34,6.706114398,48.234714,1232.26
CIDADE NOVA,508,29,5.708661417,45.15748031,869.58
URCA,545,33,6.055045872,48.46788991,3816.6
TURIAÇU,631,91,14.42155309,47.07606973,788.18
BARRA DE GUARATIBA,663,27,4.07239819,42.42081448,556.62
SAO FRANCISCO XAVIER,696,36,5.172413793,44.59770115,1122.58
PITANGUEIRAS,698,46,6.59025788,46.00286533,1232.26
COSME VELHO,722,35,4.847645429,46.56509695,3886.05
CAVALCANTI,740,91,12.2972973,47.27027027,770.74
VAZ LOBO,792,78,9.848484848,46.09848485,788.18
AGUA SANTA,794,37,4.659949622,43.40050378,1114.99
DEODORO,795,63,7.924528302,43.13836478,1279.35
MARIA DA GRAÇA,818,58,7.090464548,46.45476773,1090.6
CACUIA,824,88,10.67961165,47.23300971,1232.26
CACUIA,824,88,10.67961165,47.23300971,1232.26
VILA MILITAR,837,51,6.093189964,43.67383513,1279.35
BANCARIOS,968,68,7.024793388,44.29752066,998.86
GAMBOA,1015,49,4.827586207,42.78325123,505.5
BARROS FILHO,1052,81,7.699619772,44.29657795,366.9
MANGUEIRA,1064,60,5.639097744,41.90789474,577.6
HONORIO GURGEL,1075,89,8.279069767,46.37674419,746.54
VASCO DA GAMA,1086,63,5.801104972,43.27808471,851.89
ABOLIÇAO,1136,97,8.538732394,47.45598592,1114.99
LAPA,1147,59,5.143853531,46.16826504,1533.38
VILA KOSMOS,1164,97,8.333333333,47.22508591,887.9
CAMPINHO,1168,69,5.907534247,44.57191781,984.93
ALTO DA BOA VISTA,1179,70,5.937234945,45.26293469,3023.42
ALTO DA BOA VISTA,1179,70,5.937234945,45.26293469,3023.42
FREGUESIA (ILHA DO GOVERNADOR),1181,103,8.721422523,45.47417443,998.86
VILA KENNEDY,1182,118,9.983079526,44.82233503,653.26
CATUMBI,1193,81,6.789606035,43.79295893,869.58
SANTO CRISTO,1225,70,5.714285714,43.24489796,505.5
PRAÇA DA BANDEIRA,1238,68,5.49273021,47.60904685,3023.42
VISTA ALEGRE,1239,72,5.811138015,44.79015335,1099.34
JACARE,1240,55,4.435483871,44.02419355,1122.58
GARDENIA AZUL,1253,108,8.619313647,41.89545092,1634.27
SAMPAIO,1299,55,4.234026174,42.99846035,1122.58
VICENTE DE CARVALHO,1320,131,9.924242424,44.75,887.9
JARDIM SULACAP,1386,96,6.926406926,45.59163059,1279.35
GLORIA,1398,67,4.792560801,46.28040057,2298.87
ENCANTADO,1399,89,6.361686919,44.30664761,1114.99
RIACHUELO,1443,87,6.029106029,47.34234234,1122.58
PORTUGUESA,1458,134,9.190672154,46.52949246,1517.13
VIDIGAL,1464,60,4.098360656,39.11202186,3054.83
JARDIM CARIOCA,1467,138,9.406952965,46.82685753,1015.82
HUMAITA,1475,67,4.542372881,47.87457627,4162.33
SAO CONRADO,1477,56,3.791469194,47.44414353,3054.83
PARADA DE LUCAS,1535,108,7.035830619,43.29967427,561.23
HIGIENOPOLIS,1577,112,7.102092581,45.72289157,1090.6
ROCHA,1607,61,3.795892968,43.13939017,1122.58
RICARDO DE ALBUQUERQUE,1636,137,8.37408313,45.10391198,577.55
ESTACIO,1646,111,6.743620899,45.42527339,869.58
LEME,1677,91,5.426356589,46.71735242,3873.67
